id,source,target
"Фолкнер, Вільям: Не загинуть!, № 04",1970 - 1980,Republic of Cabo Verde
"Фолкнер, Вільям: Велетні, № 04",1970 - 1980,Portuguese
"Фолкнер, Вільям: І все буде чудово, № 04",1970 - 1980,1974
"Фолкнер, Вільям: Старий: Повість, № 09",1974,"Барбоза, Жоржі: Хатина: Вірш, № 11"
"Фрост, Роберт: Замок у вечірньому лісі, № 11",1970 - 1980,Republic of Cabo Verde
"Фрост, Роберт: Обтрушений сніг: [Вірші], № 11",1970 - 1980,Portuguese
"Фрост, Роберт: [Поезії], № 07",1970 - 1980,1974
"Фрост, Роберт: [Поезії], № 03",1974,"Дамбара, Каобердіану: Настав час: Вірш, № 11"
"Фрост, Роберт: Сонети, № 02",1970 - 1980,Republic of Cabo Verde
"Хайнлайн, Роберт: А ще ми прогулюємо собак: Оповідання, № 10",1970 - 1980,Portuguese
"Хантер, Івен: День народження: Оповідання, № 12",1970 - 1980,1977
"Хантер, Івен: Шкільні джунглі: Роман, № 01",1977,"Лопіш, Мануел: Обпалені східним вітром: Роман, № 11"
"Хейден, Роберт Е: Промова: [Вірш], № 06",1970 - 1980,Republic of Cabo Verde
"Хейлі, Артур: Готель: Роман, № 08",1970 - 1980,Portuguese
"Хейлі, Артур: Готель: Роман, № 09",1970 - 1980,1977
"Хелман, Ліліан: Джулія: Повість, № 05",1977,"Лопіш, Мануел: Обпалені східним вітром: Роман, № 10"
"Хемінгуей, Ернест: За ким сумує дзвін: Роман, № 04",1970 - 1980,Republic of Cabo Verde
"Хемінгуей, Ернест: За ким сумує дзвін: Роман, № 05",1970 - 1980,Portuguese
"Хемінгуей, Ернест: За ким сумує дзвін: Роман, № 06",1970 - 1980,1979
"Хемінгуей, Ернест: Після дощу: Новела, № 07",1979,"Мартінш, Овідіу: Золота ніч: Вірш, № 06"
"Хемінгуей, Ернест: Постріл: Новела, № 07",1970 - 1980,Republic of Cabo Verde
"Хемінгуей, Ернест: Три постріли, № 04",1970 - 1980,Portuguese
"Хемінгуей, Ернест: Індіанці виїхали, № 04",1970 - 1980,1974
"Хемінгуей, Ернест: Останній незайманий край, № 04",1974,"Мартінш, Овідіу: Осторога, № 11"
"Хемінгуей, Ернест: Переїзд через Міссісіпі, № 04",1970 - 1980,Republic of Cabo Verde
"Хемінгуей, Ернест: Остання ніч у морі, № 04",1970 - 1980,Portuguese
"Хемінгуей, Ернест: День одруження, № 04",1970 - 1980,1974
"Хемінгуей, Ернест: Про творчість: 3 неопублікованого, № 04",1974,"Мартінш, Овідіу: Антивтеча: Вірші, № 11"
"Хеммет, Дешіл: Королівські клопоти: Повість, № 09",1970 - 1980,Republic of Cabo Verde
"Хілл, Джо: Кейсі Джонс - штрейкбрехер: [Вірш], № 12",1970 - 1980,Portuguese
"Хілл, Джо: Люди праці, повставайте, № 11",1970 - 1980,1974
"Хілл, Джо: Доведетьсяйти в солдати: Пісні, № 11",1974,"Нуньїш, Антоніу: Земля: Вірш, № 11"
"Холдінг, Джеймс: Пристойна ціна за картину: Оповідання, № 02",1990 - 2000,Zimbabwe
"Хорген, Пол: Медовий місяць по-американському: Оповідання, № 07",1990 - 2000,English
"Хоу, Марі: [Поезії], № 5/6",1990 - 2000,1990
"Х’юз, Ленгстон: Ленін: [Вірш], № 04",1990,"Мунгоші, Чарлз: Втеча: Оповідання, № 06"
"Х’юз, Ленгстон: Ленін іде по планеті: [Вірш], № 04",1990 - 2000,Zimbabwe
"Х’юз, Ленгстон: Негр: [Вірш], № 07",1990 - 2000,English
"Х’юз, Ленгстон: Негр говорить про ріки, № 06",1990 - 2000,1990
"Х’юз, Ленгстон: В готельному сяйві: [Вірші], № 06",1990,"Сайді, Вільям: Чаклун: Оповідання, № 06"
"Х’юз, Ленгстон: Нехай Америка буде знов Америкою: [Вірш], № 02",1990 - 2000,Israel
"Х’юз, Ленгстон: [Поезії], № 11",1990 - 2000,English
"Х’юз, Ленгстон: Розповіді Сімпла: Оповідання: Перепис, № 07",1990 - 2000,1995
"Х’юз, Ленгстон: Порожні будинки, № 07",1995,"Айні, Леа: Білий костюм: Оповідання, № 12"
"Х’юз, Ленгстон: Яхти, № 07",1990 - 2000,Israel
"Х’юз, Ленгстон: Пригоди гарантовано, № 07",1990 - 2000,English
"Х’юз, Ленгстон: Золота брама, № 07",1990 - 2000,1995
"Х’юз, Ленгстон: Співачки від Євангелія, № 07",1995,"Аллон, Лія: Замкнений простір: Вірш, № 12"
"Х’юз, Ленгстон: Бомбосховища, № 07",1990 - 2000,Israel
"Х’юз, Ленгстон: Ліворуч від господа, № 07",1990 - 2000,English
"Х’юз, Ленгстон: Конкурс, № 07",1990 - 2000,1995
"Х’юз, Ленгстон: Статути і статуї, № 07",1995,"Аміхай, Єгуда: Вірші, № 12"
"Х’юз, Ленгстон: Виставляймося, № 07",1990 - 2000,Israel
"Х’юз, Ленгстон: Дядько Сем, № 07",1990 - 2000,Hebrew
"Чандлер [Чендлер], Реймонд: Завіса: Повість, № 12",1990 - 2000,1995
"Чандлер [Чендлер], Реймонд: Золоті рибки: Повість, № 01",1995,"Аппельфельд, Аарон: Катерина: Повість, № 12"
"Чандлер [Чендлер], Реймонд: Олівець: Повість, № 3/4",1990 - 2000,Israel
"Чандлер [Чендлер], Реймонд: Постріли в ресторані Сірано: Повість lang англ, № 06",1990 - 2000,Hebrew
"Чандлер [Чендлер], Реймонд: Убивство під час дощу: Повість, № 11",1990 - 2000,1991
"Чемберс У: Смерть комуністів: Оповідання, № 23/24",1991,"Бар-Йосеф, Хамуталь: Поезії, № 12"
"Чівер, Джон: Жінка без батьківщини: Оповідання, № 10/11",1980 - 1990,Israel
"Чівер, Джон: Клементина: Оповідання, № 5/6",1980 - 1990,Hebrew
"Чівер, Джон: Принади самотності: Оповідання, № 08",1980 - 1990,1989
"Чівер, Джон: «Прокидайся, брате Жаку...»: Оповідання, № 08",1989,"Бялик, Хаїм Нахман: Поезії, № 09"
"Шакур, Ассата: На що ти спроможна?: [Вірш], № 11",1990 - 2000,Israel
"Шеклі, Роберт: Безіменна гора: Оповідання, № 03",1990 - 2000,Yiddish
"Шеклі, Роберт: Безсмертя задарма: Оповідання, № 8/9",1990 - 2000,1994
"Шеклі, Роберт: Ворогові - вдвічі більше: Оповідання, № 04",1994,"Бялик, Хаїм Нахман: Поезії, № 5/6"
"Шеклі, Роберт: Заборонена зона - Лексіанський ключ: Оповідання, № 06",1990 - 2000,Israel
"Шеклі, Роберт: Найперша жертва: Повість, № 5/6",1990 - 2000,English
"Шеклі, Роберт: Прохач у космосі, № 07",1990 - 2000,1995
"Шеклі, Роберт: Дипломатичний імунітет: Оповідання, № 07",1995,"Візелтір, Меїр: Вірші, № 12"
"Шоу, Ірвін: Лиха пригода: Оповідання, № 05",1990 - 2000,Israel
"Шоу, Ірвін: Нічний черговий: Роман, № 03",1990 - 2000,Hebrew
"Шоу, Ірвін: Нічний черговий: Роман, № 04",1990 - 2000,1995
"Шоу, Ірвін: Нічний черговий: Роман, № 05",1995,"Гендель, Єгудіт: Оповідання без адреси, № 12"
"Шоу, Ірвін: Основні течії в американській думці: Новела, № 11",1990 - 2000,Israel
"Шоу, Ірвін: Рудольф на золотому ковадлі: Оповідання, № 8/9",1990 - 2000,English
"Шоу, Ірвін: Хліб по воді: Роман, № 03",1990 - 2000,1995
"Шоу, Ірвін: Хліб по воді: Роман, № 04",1995,"Гринберг, Тамір: Смуток: Вірш, № 12"
"Шоу, Ірвін: Хліб по воді: Роман, № 05",1990 - 2000,Israel
"Шоу, Ірвін: Я стою за Демпсі, № 01",1990 - 2000,English
"Шоу, Ірвін: Важливий свідок, № 01",1990 - 2000,1995
"Шоу, Ірвін: Зелена голявка: Оповідання, № 01",1995,"Гурі, Хаїм: Переживання: Вірш, № 12"
"Шулмен, Макс: Хлопці, наших бьють!: Сатир, роман, № 01",1960 - 1970,Israel
"Шулмен, Макс: Хлопці, наших бьють!: Сатир, роман, № 02",1960 - 1970,Arabic
"Шульте, Райнер: Рапсодія нервів: [Вірш], № 08",1960 - 1970,1964
USA. Literature in Yiddish,1964,"Дервіш, Закія Селім: Машини мчать далі: Оповідання, № 04"
"Глазман Б. [Борух]: На узбережжі моря: Сторінки з роману «Острів», № 20",1990 - 2000,Israel
"Зінгер, Іцхак Башевіс: Чому кричали гуси: Оповідання, № 9/10",1990 - 2000,English
"Ольгін [Новомиський Мойше Йосип]: Газ: Оповідання, № 45",1990 - 2000,1995
"Рейзен, Абрам [Авром]: Прошачка з дитиною: Оповідання, № 06",1995,"Дор, Моше: Вірші, № 12"
"Рейзен, Абрам [Авром]: Свято для всіх: Оповідання, № 06",1990 - 2000,Israel
Sudan,1990 - 2000,English
"Саліх, Ат-Таїб: Зейнове одруження: Повість, № 01",1990 - 2000,1995
Sierra Leone,1995,"Ізгар С: Утікач: Оповідання, № 12"
"Барт-Вільямс, Гастон: Блюз відчаю: [Вірш], № 03",1990 - 2000,Israel
Tajikistan,1990 - 2000,English
"Ібн-Сіна, Абу Алі |Авіцена|: Кита, № 12",1990 - 2000,1995
"Ібн-Сіна, Абу Алі |Авіцена|: Рубаї, № 12",1995,"Канюк, Йорам: Красиве життя Клари Сіото: Оповідання, № 12"
"Лагуті Г: Моєму творцеві: [Вірш], № 23",1990 - 2000,Israel
"Лагуті Г: Тарасу Шевченкові: Відповідь на «Заповіт»: [Вірш], № 05",1990 - 2000,German
"Румі, Джелаледдін: [Поезії], № 02",1990 - 2000,1992
Trinidad and Tobago,1992,"Кішон, Ефраїм: Я люблю кар’єру, № 3/4"
"Ентоні, Майкл: Піта глибоководний: Оповідання, № 09",1990 - 2000,Israel
"Найпол В. С: Мігель-стріт: Роман, № 02",1990 - 2000,German
Turkey,1990 - 2000,1992
Turkish,1992,"Кішон, Ефраїм: Як тероризують терористів, № 3/4"
"Ай, Бегзат: Листування батька з сином: Оповідання, № 10",1990 - 2000,Israel
"Андай, Меліх Джевдет: [Поезії], № 10",1990 - 2000,German
"Велі, Орхан: [Поезії], № 12",1990 - 2000,1992
"Велі, Орхан: [Поезії], № 08",1992,"Кішон, Ефраїм: Віденський вальс на тему титулів: Гуморески, № 3/4"
"Галман, Талят Саїт: «Радіти найпершій чайці - сентиментальність...»: [Вірш], № 10",1990 - 2000,Israel
"Гюнтекін, Решад Нурі: Тягати воду, мити посуд, № 06",1990 - 2000,English
"Гюнтекін, Решад Нурі: Контрабанда в митниці: Гумор, оповідання, № 06",1990 - 2000,1995
"Дагларджа, Фазил Хюсню: [Поезії], № 10",1995,"Корен, Єшаягу: Баразані: Оповідання, № 12"
"Джанберк, Ерай: Майстер повітряних зміїв: Оповідання, № 10",1990 - 2000,Israel
"Джумали, Неджаті: Посушливе літо: Повість, № 07",1990 - 2000,English
"Евліягіль, Неджет: Наскільки можливо відчути: [Вірш], № 10",1990 - 2000,1995
"Ейюбоглу, Бедрі Рахмі: [Поезії], № 10",1995,"Лескли, Гізи: Два вірші, № 12"
"Ердінч, Фахрі: Юшка з цвяхів, № 02",1990 - 2000,Israel
"Ердінч, Фахрі: Труна безплатно, № 02",1990 - 2000,English
"Ердінч, Фахрі: Жива барикада, № 02",1990 - 2000,1995
"Ердінч, Фахрі: Висланець, № 02",1995,"Лібрехт, Савійон: Надбудова: Оповідання, № 12"
"Ердінч, Фахрі: Відкриття Анатолії: Оповідання, № 02",1990 - 2000,Israel
"Несін, Азіз: Дружні відносини: Оповідання, № 06",1990 - 2000,English
"Несін, Азіз: Обіймай мене, кохай мене, гладь мене, цілуй мене...: Оповідання, № 04",1990 - 2000,1995
"Несін, Азіз: Смерть поліцейського: Оповідання, № 06",1995,"Мегед, Аарон: Белла, Белла, № 12"
"Несін, Азіз: Чужим розумом живемо: Оповідання, № 09",1990 - 2000,Israel
"Несін, Азіз: Як вони це роблять, № 10",1990 - 2000,English
"Несін, Азіз: Борець за демократію, № 10",1990 - 2000,1995
"Несін, Азіз: Розвага у неділю, № 10",1995,"Мегед, Аарон: Яд ва-Шем: Оповідання, № 12"
"Несін, Азіз: Крадій телефонних апаратів, № 10",1990 - 2000,Israel
"Несін, Азіз: Батьківські збори: Оповідання, № 10",1990 - 2000,Hebrew
"Несін, Азіз: Як губернатор трохи не став депутатом, № 01",1990 - 2000,1991
"Несін, Азіз: Запчастини цивілізації, № 01",1991,"Оз, Амос: До самої смерті: Істор. повість, № 03"
"Несін, Азіз: Своїм щастям я завдячую тобі, № 01",1990 - 2000,Israel
"Несін, Азіз: Помилки лікарів приховає могила, № 01",1990 - 2000,Hebrew
"Несін, Азіз: Родинний склеп, № 01",1990 - 2000,1995
"Несін, Азіз: Концерт плачу для вагітної жінки: Оповідання, № 01",1995,"Рахель: Вірші, № 12"
"Несін, Азіз: Ні верьовки, ані пояса: Гумореска, № 05",1990 - 2000,Israel
"Озден, Екта Гюнгьор: [Поезії], № 10",1990 - 2000,English
"Полат, Омер: Сарагьол: Роман, № 11",1990 - 2000,1995
"Полат, Омер: Сарагьол: Роман, № 12",1995,"Сомек, Ронні: Ясмин, № 12"
"Ріфат, Октай: [Поезії], № 10",1990 - 2000,Israel
"Уяроглу, Ісмаїл: [Поезії], № 10",1990 - 2000,English
"Ханчерліоглу, Орхан: Велика риба: Роман, № 01",1990 - 2000,1995
"Хікмет, Назим: [Поезії], № 02",1995,"Сомек, Ронні: Вірш на наждачному папері: [Вірші], № 12"
"Хікмет, Назим: [Поезії], № 12",1990 - 2000,Israel
"Хікмет, Назим: Празькі куранти: П’єса, № 02",1990 - 2000,Hebrew
"Юджель, Джан: Як змія: [Вірш], № 10",1990 - 2000,1995
"Яшар, Уміт: Безсмертний: [Вірш], № 10",1995,"Тамуз, Бен’ямін: Обрій: Оповідання, № 12"
Hungary,1990 - 2000,Israel
Hungarian,1990 - 2000,English
"Аді, Ендре: Дітям урок з історії: [Вірш], № 04",1990 - 2000,1995
"Аді, Ендре: [Поезії], № 10",1995,"Томер, Бен-Ціон: Поезії, № 12"
"Андраші, Лайош: А був би я...: [Вірш], № 10",1990 - 2000,Israel
"Анока, Естер: [Поезії], № 04",1990 - 2000,Hebrew
"Арань, Янош: Балінт Терек: Балада, № 03",1990 - 2000,1995
"Бабіч, Мігай: [Поезії], № 04",1995,"Шамір, Моше: Цар людський: Урив, з роману, № 12"
"Барані, Ференц: Громи минулого, № 05",1970 - 1980,India
"Барані, Ференц: Наша вірність: [Поезії], № 05",1970 - 1980,Hindi
"Беньямін, Ласло: Сорок вісім: [Вірш], № 01",1970 - 1980,1976
"Берта, Булчу: Біла іржа, № 12",1976,"Аг’єйя (спр. ім’я - Саччідананд Хіра-нанд Ватсаян): Поезії, № 11"
"Берта, Булчу: Останнє соборування: Новели, № 12",1970 - 1980,India
"Берталан, Іштван: Будь вірний!: [Вірш], № 10",1970 - 1980,Hindi
"Біхарі, Клара: Вечірня школа: Оповідання, № 09",1970 - 1980,1970
"Біхарі, Клара: Дві жінки: Новела, № 12",1970,"Аграваль, Бгаратбгушан: Спогад: Вірш, № 09"
"Біхарі, Клара: Друг життя, № 10",1980 - 1990,India
"Біхарі, Клара: Повернення: Оповідання, № 10",1980 - 1990,Tamil
"Боддіжар, Іван: Іван: Новела, № 12",1980 - 1990,1983
"Борбель, Янош: [Поезії], № 04",1983,"Акілан: Рятуючись від зливи: Оповідання, № 10"
"Ваці, Мігай: Ще не досить!: [Вірш], № 01",1960 - 1970,India
"Ваці, Мігай: Я цій дорозі буду вірний, № 06",1960 - 1970,Telugu
"Ваці, Мігай: Як у прислів’ї: [Вірші], № 06",1960 - 1970,1962
"Вашварі, Іштван: Вітер з Карпат: [Вірш], № 06",1962,"Аппарао, Гурузада: Любов до батьківщини: Вірш, № 09"
"Вереш, Міклош: Ода збереженню: [Вірш], № 05",1970 - 1980,India
"Вереш, Міклош: [Поезії], № 04",1970 - 1980,Urdu
"Вереш, Міклош: Смерть комети, № 04",1970 - 1980,1973
"Вереш, Міклош: Іскри з люльки Шандора Петефі: [Поезії], № 04",1973,"Ахтар, Джан Нісар: Подорожній, № 04"
"Вереш, Шандор: Від скель камчатських до Карпат: [Вірш], № 03",1970 - 1980,India
"Вереш, Шандор: [Поезії], № 06",1970 - 1980,Urdu
"Весі, Ендре: Жовтий телефон: Оповідання, № 04",1970 - 1980,1973
"Габор, Андор: Мислитель: Оповідання, № 04",1973,"Ахтар, Джан Нісар: Ми єдині: Вірші, № 04"
"Габор, Андор: [Поезії], № 04",1980 - 1990,India
"Галгоці, Ержебет: Право на суд: Повість, № 06",1980 - 1990,Hindi
"Галл, Іштван: Старий: Роман, № 09",1980 - 1990,1980
"Гараї, Габор: Грань: [Вірш], № 06",1980,"Бакші, Рамеш: 27-й бенареський: Роман, № 10"
"Гараї, Габор: [Поезії], № 04",1980 - 1990,India
"Гейтер, Ондраш: Грозяна весна: [Вірш], № 04",1980 - 1990,-
"Гергей [Гергель], Шандор: Генерал: Оповідання, № 05",1980 - 1990,1982
"Гергей [Гергель], Шандор: Жужа: Оповідання, № 04",1982,"Бараді, Субраманья: Нова Росія, № 12"
"Гергей [Гергель], Шандор: Ранок у Будапешті: Оповідання, № 18",1980 - 1990,India
"Гідаш, Антал: [Поезії], № 12",1980 - 1990,-
"Гідаш, Антал: [Поезії], № 10",1980 - 1990,1982
"Года, Габор: Жила собі родина: Повість, № 01",1982,"Бараді, Субраманья: Велич жінки: [Вірші], № 12"
"Девеньї, Тібор: Бекон: Оповідання, № 06",1970 - 1980,India
"Дері, Тібор: Уявний репортаж з американського попфестивалю: Роман, № 04",1970 - 1980,Hindi
"Дері, Тібор: Цибатий: Оповідання, № 04",1970 - 1980,1973
"Добозі, Імре: Без влади: Роман, № 07",1973,"Баччан, Харіваншрай: До сонця йде країна моя, № 04"
"Добозі, Імре: Без влади: Роман, № 08",1970 - 1980,India
"Добозі, Імре: Без влади: Роман, № 09",1970 - 1980,Hindi
"Добозі, Імре: Березневі сніжинки: Оповідання, № 07",1970 - 1980,1973
"Добозі, Імре: До самого ранку: Новела, № 12",1973,"Баччан, Харіваншрай: Дві квітки: Вірші, № 04"
"Добозі, Імре: Злива: Оповідання, № 11",1970 - 1980,India
"Добозі, Імре: Конюх: Оповідання, № 04",1970 - 1980,Hindi
"Дьєре, Імре: Не забувайте, № 05",1970 - 1980,1970
"Дьєре, Імре: Тільки пастухи: [Вірші], № 05",1970,"Баччан, Харіваншрай: [Поезії], № 09"
"Дюрі, Деже: Заборонена листівка літа 1944 р.: [Вірш], № 04",1970 - 1980,India
"Дюрко, Ласло: Тінь смерті: Повість, № 07",1970 - 1980,Hindi
"Ерделі, Йожеф: Дідько: [Вірш], № 06",1970 - 1980,1970
"Залка, Мате: На четвертому поверсі: Оповідання, № 21",1970,"Бгагерія(Бхагерія), Матадін: О Йсусе, як десь ти є...: Урив, з поеми «Пісня світової революції», № 09"
"Залка, Мате: На четвертому поверсі: Оповідання, № 22",1970 - 1980,India
"Залка, Мате: На четвертому поверсі: Оповідання, № 23",1970 - 1980,Hindi
"Залка, Мате: На четвертому поверсі: Оповідання, № 24",1970 - 1980,1971
"Залка, Мате: На четвертому поверсі: Оповідання, № 25",1971,"Бгагерія(Бхагерія), Матадін: Пісня світової революції: Урив, з поеми, № 05"
"Залка, Мате: На четвертому поверсі: Оповідання, № 26",1970 - 1980,India
"Зелк, Золтан: Біля могили червоноармійця: [Вірш], № 05",1970 - 1980,Hindi
"Зелк, Золтан: Біля пам’ятника червоноармійцю: [Вірш], № 05",1970 - 1980,1973
"Зелк, Золтан: [Поезії], № 07",1973,"Бгагерія(Бхагерія), Матадін: Я - мир на світі: Вірш, № 04"
"Ійєш, Дюла: На новий рік, № 06",1970 - 1980,India
"Ійєш, Дюла: Недоторканний: [Вірші], № 06",1970 - 1980,Hindi
"Ійєш, Дюла: [Поезії], № 11",1970 - 1980,1970
"Ійєш, Дюла: Сліди: [Вірш], № 01",1970,"Бгатнагар, Махендра: Юність: Вірш, № 09"
"Іллеш, Бела: Випадки з життя: У Олександра Серафимовича, № 03",1990 - 2000,India
"Іллеш, Бела: Чудо, № 03",1990 - 2000,English
"Іллеш, Бела: Маяковський, № 03",1990 - 2000,1990
"Іллеш, Бела: Бернард Шоу, № 03",1990,"Бгаттачар’я, Бгабані: Сон на Гавайях: Роман, № 11"
"Іллеш, Бела: Ромен Роллан, № 03",1970 - 1980,India
"Іллеш, Бела: Король Матяш і лицар Голубарі, № 03",1970 - 1980,Bengali
"Іллеш, Бела: Заболочений двір, № 03",1970 - 1980,1976
"Іллеш, Бела: Мартін Андерсен Нексе, № 03",1976,"Бошу, Шомореш: Хлопчик на побігеньках: Оповідання, № 11"
"Іллеш, Бела: Максим Горький, № 03",1970 - 1980,India
"Іллеш, Бела: Перо і шабля: Оповідання, № 03",1970 - 1980,Malayalam
"Іллеш, Бела: Повернення: Оповідання, № 04",1970 - 1980,1978
"Іллеш, Бела: Серце матері: Оповідання, № 05",1978,"Валлатхол, Нараяна Менон: Світ - єдиний: Вірш, № 10"
"Іоввадь [Іоббадь], Карой: Київський етюд: [Вірш], № 05",1970 - 1980,India
"Іоввадь [Іоббадь], Карой: Не байдуже (Після мандрівки): [Вірш], № 01",1970 - 1980,Author. English
"Йожеф, Аттіла: З чистим серцем, № 04",1970 - 1980,1976
"Йожеф, Аттіла: Ув’язнений: [Вірші], № 04",1976,"Варма, Шрікант: Похорон: Оповідання, № 11"
"Йожеф, Аттіла: [Поезії], № 04",1980 - 1990,India
"Йожеф, Аттіла: [Поезії], № 07",1980 - 1990,Hindi
"Йожеф, Аттіла: [Поезії], № 10",1980 - 1990,1981
"Кантор, Жужа: Вулиця Пратера: Роман, № 04",1981,"Ганді, Канхайялал: Назавжди в пам’яті: Оповідання, № 06"
"Кашшак, Лайош: Моя поезія: [Вірш], № 01",1970 - 1980,India
"Кашшак, Лайош: [Поезії], № 04",1970 - 1980,Hindi
"Кеминь, Деже: Третя генерація: Оповідання, № 09",1970 - 1980,1973
"Костолані, Деже: [Поезії], № 02",1973,"Гупта, Бгайрав Прасад: Собача лапа: Оповідання, № 09"
"Ласло-Бенчик, Шандор: У тугому вузлі: Роман, № 04",1960 - 1970,India
"Ласло-Бенчик, Шандор: У тугому вузлі: Роман, № 05",1960 - 1970,-
"Лендєл, Йожеф: Відпущення гріхів: Оповідання, № 04",1960 - 1970,1960
"Лендєл, Йожеф: Літа наші...: Новела, № 12",1960,"Гхош, Бімал Чандра: Його ім’я в віках сяє: Вірш], № 04"
"Лендєл, Йожеф: Чаклун: Повість, № 06",1970 - 1980,India
"Молдова, Дьердь: Французький майстер: Оповідання, № 02",1970 - 1980,Bengali
"Мольнар, Фернес: їх розмова: (Дитячий діалог): Оповідання, № 03",1970 - 1980,1973
"Надаш, Йожеф: Всім! Всім!: [Вірш], № 05",1973,"Даш, Джібонанондо: Якби повернулися двадцять років, № 04"
"Надь, Ласло: [Поезії], № 07",1970 - 1980,India
"Нєргеш, Андраш: Якщо загарбник зголодніє (Іронічне): [Вірш], № 05",1970 - 1980,Bengali
"Опаті, Міклош: Селянський будинок, № 04",1970 - 1980,1973
"Опаті, Міклош: Мій тато: [Поезії], № 04",1973,"Даш, Джібонанондо: На траві: [Вірші], № 04"
"Орбан, Отто: Малесенька війна: [Вірш], № 05",1970 - 1980,India
"Осабо, Іштван: Аби квітнули квіти: [Вірш], № 04",1970 - 1980,Urdu
"Папп, Лайош: Ленін: [Вірш], № 02",1970 - 1980,1973
"Петефі, Шандор: Апостол: [Розд. з поеми], № 07",1973,"Джафрі, Алі Сардар: Світильники сліз, № 04"
"Петефі, Шандор: [Поезії], № 07",1970 - 1980,India
"Петефі, Шандор: [Поезії], № 11",1970 - 1980,Urdu
"Петефі, Шандор: [Поезії], № 3/4",1970 - 1980,1973
"Раб, Жужа: [Поезії], № 07",1973,"Джафрі, Алі Сардар: Республіка: [Вірші], № 04"
"Радноті, Міклош: Борський зошит: [Поезії], № 08",1970 - 1980,India
"Радноті, Міклош: [Поезії], № 04",1970 - 1980,Author. English
"Сабо, Лерінц: Лоці велетнем стає: [Вірш], № 06",1970 - 1980,1976
"Сабо, Магда: «Ч»: Оповідання, № 04",1976,"Джаякантан [Джеякантан] Д: Гірлянда для героя: Оповідання, № 11"
"Секей, Магда: Живий: [Вірш], № 05",1980 - 1990,India
"Сепеш, Марія: Вірус лазорію: Оповідання, № 06",1980 - 1990,Tamil
"Сервац, Йожеф: [Поезії], № 04",1980 - 1990,1984
"Сервац, Йожеф: Смішні історії: [Угор. жарти], № 01",1984,"Джаякантан [Джеякантан] Д: Добром зігріте серце: Роман, № 03"
"Сервац, Йожеф: Усмішки, № 03",1960 - 1970,India
"Сюді, Дьордь: Дружні руки: [Вірш], № 10",1960 - 1970,Punjabi
"Тандорі, Деже: Тривірш перекладача, № 05",1960 - 1970,1969
"Товт, Шандор Шомоді: Як справи, юначе?: Повість, № 06",1969,"Дуггал, Картар Сінгх: По той бік: Оповідання, № 02"
"Тот [Товт], Арпад: Новий бог: [Вірш], № 04",1970 - 1980,India
"Тот [Товт], Арпад: [Поезії], № 05",1970 - 1980,Hindi
"Турі, Жужа: Найкращий подарунок: Оповідання, № 05",1970 - 1980,1972
"Феєш, Ендре: Добрий вечір, літо, добрий вечір, кохання: Роман, № 01",1972,"Захір, Разія Саджад: Фарби плачуть: Оповідання, № 08"
"Фелдеак, Янош: Елегія Разліва: [Вірш], № 10",1960 - 1970,India
"Ференц, Мора: Боротьба зі світанком: Казка, № 09",1960 - 1970,Hindi
"Фодор, Андраш: Ленінградське кладовище: [Вірш], № 01",1960 - 1970,1964
"Фодор, Андраш: [Поезії], № 06",1964,"Камалешвар: Світ повний горя: Оповідання, № 01"
"Фодор, Йожеф: Каменотес: [Вірш], № 06",1950 - 1960,India
"Фодор, Йожеф: Ленін: [Вірш], № 04",1950 - 1960,Marathi
"Чаплар, Вільмош: Грошей, та чимбільше!: Роман, № 5/6",1950 - 1960,1959
"Шамйо, Дьєрдь: І все ж - тільки мир: [Вірш], № 07",1959,"Мадгулкар, В’янкатеш: Вода: Оповідання, № 03"
"Шаранді, Йожеф: Прощення немає, № 04",1970 - 1980,India
"Шаранді, Йожеф: Ранами клянусь: [Поезії], № 04",1970 - 1980,English
"Шафарі, Ласло: Іній: [Вірш], № 04",1970 - 1980,1976
"Шимон, Іштван: [Поезія], № 07",1976,"Малік, Кешев: [Поезії], № 11"
"Шімон, Лайош: Кантата дитині, № 05",1970 - 1980,India
"Шімон, Лайош: Пам’ять, 1945-й: [Поезії], № 05",1970 - 1980,English
"Шімон, Лайош: Так легше: [Вірш], № 10",1970 - 1980,1976
"Шімонффі, Андраш: Яма: Оповідання, № 04",1976,"Махапатра, Сітакант: Коли надійде мій час, № 11"
"Шольом Йожеф & Сабо Ласло: Остання спроба: Докум. повість, № 06",1980 - 1990,India
"Шомоді, Шандор Тот: Шандрі: Оповідання, № 04",1980 - 1990,-
"Шумоні, Золтан: Літо в Пешті: [Вірш], № 05",1980 - 1990,1989
"Шюте, Калман: Кров, № 04",1989,"Махешвер, Саравак: [Поезії], № 11"
"Шюте, Калман: 3 погордою тепер ходити гріх: [Вірші], № 04",1970 - 1980,India
"Югас, Дюла: [Поезії], № 04",1970 - 1980,Hindi
"Янкович, Ференц: Жіноча рука: [Вірш], № 06",1970 - 1980,1970
Ukraine. Literature in Ukranian,1970,"Мехротра, Шанті: Стежинка: [Вірш], № 09"
Ukranian,1970 - 1980,India
"Алешко В: Мотор і сурма: Новела, № 8/9",1970 - 1980,Bengali
"Алі: Новий Донбас: [Вірш], № 03",1970 - 1980,1976
"Андрієнко Ів: Випадок на березі морському: Оповідання, № 14",1976,"Мітра, Премендра: [Поезії], № 11"
"Андрієнко Ів: Вороги: Оповідання, № 21",1970 - 1980,India
