id,source,link
2693,1960 - 1970,English
2694,1960 - 1970,1969
2695,1969,"Мільтон, Джон: Жало бритви: Роман, № 09"
2696,1990 - 2000,Great Britain. English Literature
2697,1990 - 2000,English
2698,1990 - 2000,1998
2699,1998,"Мільтон, Джон: Зимовий круїз: Оповідання, № 10"
2700,1960 - 1970,Great Britain. English Literature
2701,1960 - 1970,English
2702,1960 - 1970,1966
2703,1966,"Мільтон, Джон: Лицедії: Роман, № 01"
2704,1960 - 1970,Great Britain. English Literature
2705,1960 - 1970,English
2706,1960 - 1970,1966
2707,1966,"Мільтон, Джон: Лицедії: Роман, № 02"
2708,1980 - 1990,Great Britain. English Literature
2709,1980 - 1990,English
2710,1980 - 1990,1981
2711,1981,"Мільтон, Джон: Принцеса Вереснянка: Казка, № 08"
2712,1960 - 1970,Great Britain. English Literature
2713,1960 - 1970,English
2714,1960 - 1970,1963
2715,1963,"Мільтон, Джон: Радощі життя, або Сімейна таємниця: Роман, № 01"
2716,1960 - 1970,Great Britain. English Literature
2717,1960 - 1970,English
2718,1960 - 1970,1963
2719,1963,"Мільтон, Джон: Радощі життя, або Сімейна таємниця: Роман, № 02"
2720,1990 - 2000,Great Britain. English Literature
2721,1990 - 2000,English
2722,1990 - 2000,1998
2723,1998,"Мільтон, Джон: Шлюб із розрахунку: Оповідання, № 11"
2724,1980 - 1990,Great Britain. English Literature
2725,1980 - 1990,English
2726,1980 - 1990,1984
2727,1984,"Монсаррат, Ніколас: Сходження нагору: Оповідання, № 09"
2728,1980 - 1990,Great Britain. English Literature
2729,1980 - 1990,English
2730,1980 - 1990,1985
2731,1985,"Мортон, Джон: -, № 08"
2732,1980 - 1990,Great Britain. English Literature
2733,1980 - 1990,English
2734,1980 - 1990,1983
2735,1983,"Мунро, Гектор(псевдонім - Сакі): Тобер-морі, № 06"
2736,1980 - 1990,Great Britain. English Literature
2737,1980 - 1990,English
2738,1980 - 1990,1983
2739,1983,"Мунро, Гектор(псевдонім - Сакі): Відчинені двері: Оповідання, № 06"
2740,1960 - 1970,Great Britain. English Literature
2741,1960 - 1970,English
2742,1960 - 1970,1964
2743,1964,"Мунро, Гектор(псевдонім - Сакі): У сутінках, № 11"
2744,1960 - 1970,Great Britain. English Literature
2745,1960 - 1970,English
2746,1960 - 1970,1964
2747,1964,"Мунро, Гектор(псевдонім - Сакі): Акцент, № 11"
2748,1960 - 1970,Great Britain. English Literature
2749,1960 - 1970,English
2750,1960 - 1970,1964
2751,1964,"Мунро, Гектор(псевдонім - Сакі): Метод Шарца-Метерклума: Оповідання, № 11"
2752,1990 - 2000,Great Britain. English Literature
2753,1990 - 2000,English
2754,1990 - 2000,1997
2755,1997,"Мур, Томас: Вечірній дзвін: Вірш, № 01"
2756,1990 - 2000,Great Britain. English Literature
2757,1990 - 2000,English
2758,1990 - 2000,1996
2759,1996,"Мур, Томас: Юнак-співець: Вірш, № 04"
2760,1980 - 1990,Great Britain. English Literature
2761,1980 - 1990,English
2762,1980 - 1990,1988
2763,1988,"Орвелл, Джордж: 1984: Урив, з роману, № 04"
2764,1990 - 2000,Great Britain. English Literature
2765,1990 - 2000,English
2766,1990 - 2000,1991
2767,1991,"Орвелл, Джордж: Ферма «Рай для Тварин»: Небилиця, № 01"
2768,1950 - 1960,Great Britain. English Literature
2769,1950 - 1960,English
2770,1950 - 1960,1958
2771,1958,"Парджетер, Едіт: Пурпурові діти: Новела, № 06"
2772,1960 - 1970,Great Britain. English Literature
2773,1960 - 1970,English
2774,1960 - 1970,1967
2775,1967,"Полден, Джеймс: Ленін: Сучасна епічна поема: Уривки, № 09"
2776,1980 - 1990,Great Britain. English Literature
2777,1980 - 1990,English
2778,1980 - 1990,1986
2779,1986,"Поп, Александер: Епіграми, № 09"
2780,1950 - 1960,Great Britain. English Literature
2781,1950 - 1960,English
2782,1950 - 1960,1959
2783,1959,"Прістлі, Джон Бойнтон: Скандальна історія містера Кеттла і місіс Мун: Комедія, № 01"
2784,1970 - 1980,Great Britain. English Literature
2785,1970 - 1980,English
2786,1970 - 1980,1976
2787,1976,"Прітчетт, Віктор: Святий, № 04"
2788,1970 - 1980,Great Britain. English Literature
2789,1970 - 1980,English
2790,1970 - 1980,1976
2791,1976,"Прітчетт, Віктор: Одинадцята година, № 04"
2792,1970 - 1980,Great Britain. English Literature
2793,1970 - 1980,English
2794,1970 - 1980,1976
2795,1976,"Прітчетт, Віктор: Шосе: Оповідання, № 04"
2796,1980 - 1990,Great Britain. English Literature
2797,1980 - 1990,English
2798,1980 - 1990,1981
2799,1981,"Прітчетт, Віктор: Як я писала твори: Оповідання, № 02"
2800,1980 - 1990,Great Britain. English Literature
2801,1980 - 1990,English
2802,1980 - 1990,1984
2803,1984,"Рід, Пірс Пол: Одружений: Роман, № 9/10"
2804,1990 - 2000,Great Britain. English Literature
2805,1990 - 2000,English
2806,1990 - 2000,1997
2807,1997,"Россетті, Крістіна: «Я к я помру - не треба...»: [Вірш], № 01"
2808,1980 - 1990,Great Britain. English Literature
2809,1980 - 1990,English
2810,1980 - 1990,1987
2811,1987,"Свінберн, Алджернон Чарлз: Поезії, № 10"
2812,1960 - 1970,Great Britain. English Literature
2813,1960 - 1970,English
2814,1960 - 1970,1963
2815,1963,"Сіллітоу, Алан: Самотність бігуна на далекі інстанції: Повість, № 05"
2816,1990 - 2000,Great Britain. English Literature
2817,1990 - 2000,English
2818,1990 - 2000,1997
2819,1997,"Сіллітоу, Алан: Портобелло-роуд: Оповідання, № 5/6"
2820,1990 - 2000,Great Britain. English Literature
2821,1990 - 2000,English
2822,1990 - 2000,2000
2823,2000,"Стівенсон, Роберт Льюїс: Вересовий трунок: [Поезії], № 5/6"
2824,1960 - 1970,Great Britain. English Literature
2825,1960 - 1970,English
2826,1960 - 1970,1969
2827,1969,"Стівенсон, Роберт Льюїс: Філдінг і Річардсон: Гумор, оповід, № 07"
2828,1980 - 1990,Great Britain. English Literature
2829,1980 - 1990,English
2830,1980 - 1990,1984
2831,1984,"Тейн, Пол: Найбільший піщаний замок у світі: Радіоп’єса, № 06"
2832,1970 - 1980,Great Britain. English Literature
2833,1970 - 1980,English
2834,1970 - 1980,1979
2835,1979,"Тенісон, Альфред: Бідакова сорочка: Вірш, № 06"
2836,1990 - 2000,Great Britain. English Literature
2837,1990 - 2000,English
2838,1990 - 2000,1994
2839,1994,"Толкін, Рональд Руел Джон: Із «Книги Забутих Переказів», № 04"
2840,1970 - 1980,Great Britain. English Literature
2841,1970 - 1980,English
2842,1970 - 1980,1973
2843,1973,"Томас, Ділан: Поезії, № 05"
2844,1970 - 1980,Great Britain. English Literature
2845,1970 - 1980,-
2846,1970 - 1980,1970
2847,1970,"Травен, Б: Макаріо: Оповідання, № 01"
2848,1980 - 1990,Great Britain. English Literature
2849,1980 - 1990,English
2850,1980 - 1990,1986
2851,1986,"Тремейн, Роуз: -, № 03"
2852,1970 - 1980,Great Britain. English Literature
2853,1970 - 1980,English
2854,1970 - 1980,1979
2855,1979,"Уайльд(Уайлд), Оскар: Афоризми, № 01"
2856,1990 - 2000,Great Britain. English Literature
2857,1990 - 2000,English
2858,1990 - 2000,1992
2859,1992,"Уайльд(Уайлд), Оскар: Поезії, № 10"
2860,1990 - 2000,Great Britain. English Literature
2861,1990 - 2000,English
2862,1990 - 2000,1998
2863,1998,"Уайльд(Уайлд), Оскар: Поезії в прозі, № 07"
2864,1960 - 1970,Great Britain. English Literature
2865,1960 - 1970,English
2866,1960 - 1970,1966
2867,1966,"Уейд, Роберт: Дивовижна історія Мері Стенз: Роман, № 06"
2868,1980 - 1990,Great Britain. English Literature
2869,1980 - 1990,English
2870,1980 - 1990,1981
2871,1981,"Уейн, Джон: Поки світить сонце, № 11"
2872,1980 - 1990,Great Britain. English Literature
2873,1980 - 1990,English
2874,1980 - 1990,1981
2875,1981,"Уейн, Джон: Смерть задніх ніг: Оповідання, № 11"
2876,1970 - 1980,Great Britain. English Literature
2877,1970 - 1980,English
2878,1970 - 1980,1973
2879,1973,"Уейн, Джон: Темрява, № 04"
2880,1970 - 1980,Great Britain. English Literature
2881,1970 - 1980,English
2882,1970 - 1980,1973
2883,1973,"Уейн, Джон: Добраніч, старенька Дейзі, № 04"
2884,1970 - 1980,Great Britain. English Literature
2885,1970 - 1980,English
2886,1970 - 1980,1973
2887,1973,"Уейн, Джон: Цар Калібан: Оповідання, № 04"
2888,1960 - 1970,Great Britain. English Literature
2889,1960 - 1970,English
2890,1960 - 1970,1963
2891,1963,"Уескер, Арнольд: Смажена картопля до всього: П’єса, № 06"
2892,1980 - 1990,Great Britain. English Literature
2893,1980 - 1990,English
2894,1980 - 1990,1985
2895,1985,"Уїндем, Джон: Дивина: Оповідання, № 10"
2896,1990 - 2000,Great Britain. English Literature
2897,1990 - 2000,English
2898,1990 - 2000,1991
2899,1991,"Уїндем, Джон: Зустріч через п’ятдесят років: Оповідання, № 01"
2900,1980 - 1990,Great Britain. English Literature
2901,1980 - 1990,English
2902,1980 - 1990,1986
2903,1986,"Уїндем, Джон: І чорт не влучить: Фантаст, оповід, № 10"
2904,1960 - 1970,Great Britain. English Literature
2905,1960 - 1970,English
2906,1960 - 1970,1961
2907,1961,"Уолліс, Дейв: Трамвайна зупинка біля Нілу: Роман, № 05"
2908,1990 - 2000,Great Britain. English Literature
2909,1990 - 2000,English
2910,1990 - 2000,1999
2911,1999,"Фаулз, Джон: Мантиса: Роман, № 01"
2912,1990 - 2000,Great Britain. English Literature
2913,1990 - 2000,English
2914,1990 - 2000,1999
2915,1999,"Фаулз, Джон: Мантиса: Роман, № 02"
2916,1990 - 2000,Great Britain. English Literature
2917,1990 - 2000,English
2918,1990 - 2000,1990
2919,1990,"Флемінг, Ян: Із Росії - з любов’ю: Роман, № 10"
2920,1990 - 2000,Great Britain. English Literature
2921,1990 - 2000,English
2922,1990 - 2000,1990
2923,1990,"Флемінг, Ян: Із Росії - з любов’ю: Роман, № 11"
2924,1980 - 1990,Great Britain. English Literature
2925,1980 - 1990,English
2926,1980 - 1990,1987
2927,1987,"Форстер Е. М: По той бік живоплоту: Оповідання, № 03"
2928,1980 - 1990,Great Britain. English Literature
2929,1980 - 1990,English
2930,1980 - 1990,1989
2931,1989,"Фрімен, Річард Остін: Чарівна скринька: Оповідання, № 03"
2932,1970 - 1980,Great Britain. English Literature
2933,1970 - 1980,English
2934,1970 - 1980,1979
2935,1979,"Хілл, Сьюзен: Напровесні: Роман, № 11"
2936,1970 - 1980,Great Britain. English Literature
2937,1970 - 1980,English
2938,1970 - 1980,1979
2939,1979,"Хілл, Сьюзен: Напровесні: Роман, № 12"
2940,1990 - 2000,Great Britain. English Literature
2941,1990 - 2000,English
2942,1990 - 2000,1991
2943,1991,"Чейз, Джеймс Хедлі: Міс Шамвей і чорна магія: Роман, № 06"
2944,1970 - 1980,Great Britain. English Literature
2945,1970 - 1980,English
2946,1970 - 1980,1978
2947,1978,"Чосер, Джеффрі: Кентерберійські оповіді: Пролог, № 05"
2948,1970 - 1980,Great Britain. English Literature
2949,1970 - 1980,English
2950,1970 - 1980,1978
2951,1978,"Чосер, Джеффрі: Розповідь мірошника, № 05"
2952,1970 - 1980,Great Britain. English Literature
2953,1970 - 1980,English
2954,1970 - 1980,1975
2955,1975,"Шекспір, Вільям(Уїльям): Гамлет: Трагедія, № 07"
2956,1960 - 1970,Great Britain. English Literature
2957,1960 - 1970,English
2958,1960 - 1970,1964
2959,1964,"Шекспір, Вільям(Уїльям): Двоє синьйорів з Верони: Романт. комедія, № 01"
2960,1980 - 1990,Great Britain. English Literature
2961,1980 - 1990,English
2962,1980 - 1990,1986
2963,1986,"Шекспір, Вільям(Уїльям): Скарга закоханої: Поема, № 10"
2964,1950 - 1960,Great Britain. English Literature
2965,1950 - 1960,English
2966,1950 - 1960,1959
2967,1959,"Шекспір, Вільям(Уїльям): Сонети, № 04"
2968,1960 - 1970,Great Britain. English Literature
2969,1960 - 1970,English
2970,1960 - 1970,1961
2971,1961,"Шекспір, Вільям(Уїльям): Сонети, № 07"
2972,1960 - 1970,Great Britain. English Literature
2973,1960 - 1970,English
2974,1960 - 1970,1964
2975,1964,"Шекспір, Вільям(Уїльям): Сонети, № 04"
2976,1980 - 1990,Great Britain. English Literature
2977,1980 - 1990,English
2978,1980 - 1990,1983
2979,1983,"Шекспір, Вільям(Уїльям): Сонети, № 02"
2980,1990 - 2000,Great Britain. English Literature
2981,1990 - 2000,English
2982,1990 - 2000,1996
2983,1996,"Шекспір, Вільям(Уїльям): Sonnets-Сонети, № 8/9"
2984,1990 - 2000,Great Britain. English Literature
2985,1990 - 2000,English
2986,1990 - 2000,2000
2987,2000,"Шекспір, Вільям(Уїльям): Сонети, № 1/2"
2988,1960 - 1970,Great Britain. English Literature
2989,1960 - 1970,English
2990,1960 - 1970,1965
2991,1965,"Шекспір, Вільям(Уїльям): «Фіалці ранній кинув я докір...»: Сонет, № 02"
2992,1990 - 2000,Great Britain. English Literature
2993,1990 - 2000,English
2994,1990 - 2000,1997
2995,1997,"Шеллі, Персі Біші: «Озимандія»: Вірш, № 5/6"
2996,1960 - 1970,Great Britain. English Literature
2997,1960 - 1970,English
2998,1960 - 1970,1963
2999,1963,"Шеллі, Персі Біші: Пісня до братів-британців: Вірш, № 06"
3000,1970 - 1980,Great Britain. English Literature
3001,1970 - 1980,English
3002,1970 - 1980,1972
3003,1972,"Шеллі, Персі Біші: Поезії, № 07"
3004,1980 - 1990,Great Britain. English Literature
3005,1980 - 1990,English
3006,1980 - 1990,1987
3007,1987,"Шеллі, Персі Біші: Поезії, № 02"
3008,1950 - 1960,Great Britain. English Literature
3009,1950 - 1960,English
3010,1950 - 1960,1958
3011,1958,"Шеллі, Персі Біші: Поезія Фрагменти, № 03"
3012,1970 - 1980,Great Britain. English Literature
3013,1970 - 1980,English
3014,1970 - 1980,1976
3015,1976,"Шоу, Бернард: Афоризми, № 05"
3016,1960 - 1970,Great Britain. English Literature
3017,1960 - 1970,-
3018,1960 - 1970,1965
3019,1965,"Шоу, Бернард: Дотепи Бернарда Шоу, № 02"
3020,1990 - 2000,Great Britain. English Literature
3021,1990 - 2000,English
3022,1990 - 2000,1999
3023,1999,"Шоу, Бернард: Пігмаліон: П’єса, № 11/12"
3024,1930 - 1940,Great Britain. English Literature
3025,1930 - 1940,English
3026,1930 - 1940,1933
3027,1933,"Шоу, Бернард: Чорна данина шукає бога: Урив, з кн. «Пригоди чорної дівчини в її шуканнях бога», № 14/15"
3028,1990 - 2000,Great Britain. English Literature
3029,1990 - 2000,English
3030,1990 - 2000,1997
3031,1997,"Шоу, Хейзел: У пошуках донечки: Оповідання, № 02"
3032,1970 - 1980,Great Britain. Scottish Literature
3033,1970 - 1980,English
3034,1970 - 1980,1979
3035,1979,"Бернс, Роберт: Джон Ячмінний Колосок: Вірш, № 06"
3036,1980 - 1990,Great Britain. Scottish Literature
3037,1980 - 1990,English
3038,1980 - 1990,1986
3039,1986,"Бернс, Роберт: Епіграми, № 09"
3040,1950 - 1960,Great Britain. Scottish Literature
3041,1950 - 1960,-
3042,1950 - 1960,1959
3043,1959,"Бернс, Роберт: Поезії, № 01"
3044,1970 - 1980,Great Britain. Scottish Literature
3045,1970 - 1980,English
3046,1970 - 1980,1978
3047,1978,"Бернс, Роберт: Поезії, № 11"
3048,1980 - 1990,Great Britain. Scottish Literature
3049,1980 - 1990,-
3050,1980 - 1990,1987
3051,1987,"Бернс, Роберт: Фіндлей: [Вірш], № 07"
3052,1990 - 2000,Great Britain. Scottish Literature
3053,1990 - 2000,English
3054,1990 - 2000,1998
3055,1998,"Браун, Джордж Маккей: Оповідь про Йоркела Поштриканого: Новела, № 04"
3056,1990 - 2000,Great Britain. Scottish Literature
3057,1990 - 2000,English
3058,1990 - 2000,1998
3059,1998,"Ганн, Нейл М: Старий циган: Новела, № 04"
3060,1990 - 2000,Great Britain. Scottish Literature
3061,1990 - 2000,English
3062,1990 - 2000,1998
3063,1998,"Гейнз, Дороті: Покликання: Новела, № 04"
3064,1990 - 2000,Great Britain. Scottish Literature
3065,1990 - 2000,English
3066,1990 - 2000,1998
3067,1998,"Гейтенз, Едвард: Один ковточок: Новела, № 04"
3068,1990 - 2000,Great Britain. Scottish Literature
3069,1990 - 2000,English and Gaelic
3070,1990 - 2000,1993
3071,1993,"Геріок, Роберт: Сізіф: Вірш, № 11/12"
3072,1990 - 2000,Great Britain. Scottish Literature
3073,1990 - 2000,English
3074,1990 - 2000,1995
3075,1995,"Грей, Алісдер: Історії, переважно неймовірні: Оповідання, № 10/11"
3076,1990 - 2000,Great Britain. Scottish Literature
3077,1990 - 2000,English
3078,1990 - 2000,1998
3079,1998,"Дейві, Елспет: Поза часом і простором: Новела, № 04"
3080,1990 - 2000,Great Britain. Scottish Literature
3081,1990 - 2000,"English, Gaelic and Scottish spoken languages"
3082,1990 - 2000,1993
3083,1993,"Джемісон, Роберт А: Поезії, № 11/12"
3084,1990 - 2000,Great Britain. Scottish Literature
3085,1990 - 2000,English
3086,1990 - 2000,1993
3087,1993,"Ленард, Том: Поезії, № 11/12"
3088,1990 - 2000,Great Britain. Scottish Literature
3089,1990 - 2000,English
3090,1990 - 2000,1998
3091,1998,"Лінклейтер, Ерік: Штани з тюленячої шкіри: Новела, № 04"
3092,1990 - 2000,Great Britain. Scottish Literature
3093,1990 - 2000,English
3094,1990 - 2000,1998
3095,1998,"Мак-Келлам, Нейл: Будинок на Сицилії: Новела, № 04"
3096,1990 - 2000,Great Britain. Scottish Literature
3097,1990 - 2000,English
3098,1990 - 2000,1993
3099,1993,"Макбет, Джордж: Інквізиція: Вірш, № 11/12"
3100,1960 - 1970,Great Britain. Scottish Literature
3101,1960 - 1970,English
3102,1960 - 1970,1967
3103,1967,"Макдіармід, Х’ю: Гімн про Леніна: Уривок, № 11"
3104,1990 - 2000,Great Britain. Scottish Literature
3105,1990 - 2000,English
3106,1990 - 2000,1993
3107,1993,"Маккейб, Брайєн: Ной: Вірш, № 11/12"
3108,1990 - 2000,Great Britain. Scottish Literature
3109,1990 - 2000,English
3110,1990 - 2000,1993
3111,1993,"Маккейг, Норман: Поезії, № 11/12"
3112,1990 - 2000,Great Britain. Scottish Literature
3113,1990 - 2000,English
3114,1990 - 2000,1998
3115,1998,"Міччісон, Наомі: Мітра, мій спаситель: Новела, № 04"
3116,1990 - 2000,Great Britain. Scottish Literature
3117,1990 - 2000,English
3118,1990 - 2000,1993
3119,1993,"Морган, Едвін: Поезії, № 11/12"
3120,1990 - 2000,Great Britain. Scottish Literature
3121,1990 - 2000,English
3122,1990 - 2000,1998
3123,1998,"Патерсон, Нейл: Шотландське поселення: Новела, № 04"
3124,1990 - 2000,Great Britain. Scottish Literature
3125,1990 - 2000,English
3126,1990 - 2000,1993
3127,1993,"Пау, Том: Поезії, № 11/12"
3128,1990 - 2000,Great Britain. Scottish Literature
3129,1990 - 2000,English
3130,1990 - 2000,1991
3131,1991,"Сміт, Ян(Ієн) Крайтон: Мій Наполеон: Оповідання, № 09"
3132,1990 - 2000,Great Britain. Scottish Literature
3133,1990 - 2000,English and Gaelic
3134,1990 - 2000,1993
3135,1993,"Сміт, Ян(Ієн) Крайтон: Поезії, № 11/12"
3136,1990 - 2000,Great Britain. Scottish Literature
3137,1990 - 2000,English
3138,1990 - 2000,1998
3139,1998,"Фінлей, Єн Гемілтон: Сажальники картоплі і похорон старого столяра: Новела, № 04"
3140,1990 - 2000,Great Britain. Scottish Literature
3141,1990 - 2000,English
3142,1990 - 2000,1998
3143,1998,"Форд, Джеймс Аллен: Молодий Клерк і глибоке синє море: Новела, № 04"
3144,1970 - 1980,Vietnam
3145,1970 - 1980,Vietnamese
3146,1970 - 1980,1977
3147,1977,"Ань, Ті: Країна Леніна: Вірш, № 11"
3148,1970 - 1980,Vietnam
3149,1970 - 1980,Vietnamese
3150,1970 - 1980,1978
3151,1978,"Ань, Тхо: Радість спільна - це і радість особиста: [Вірш], № 09"
3152,1970 - 1980,Vietnam
3153,1970 - 1980,Vietnamese
3154,1970 - 1980,1975
3155,1975,"Буй, Хіен: Розкажу вам про своє село: Оповідання, № 09"
3156,1970 - 1980,Vietnam
3157,1970 - 1980,Vietnamese
3158,1970 - 1980,1978
3159,1978,"Ван, Конг: Комуністи: Вірш, № 09"
3160,1970 - 1980,Vietnam
3161,1970 - 1980,-
3162,1970 - 1980,1976
3163,1976,"Гюї, Кан: День народження Леніна: Вірш, № 04"
3164,1990 - 2000,Vietnam
3165,1990 - 2000,Vietnamese
3166,1990 - 2000,1995
3167,1995,"Гюї, Кан: Поезії, № 10/11"
3168,1970 - 1980,Vietnam
3169,1970 - 1980,Vietnamese
3170,1970 - 1980,1973
3171,1973,"Гюї, Кан: Краплі дощу: Оповідання, № 09"
3172,1970 - 1980,Vietnam
3173,1970 - 1980,Vietnamese
3174,1970 - 1980,1975
3175,1975,"До, Тю: Багряні хмари: Оповідання, № 09"
3176,1990 - 2000,Vietnam
3177,1990 - 2000,English
3178,1990 - 2000,1998
3179,1998,"Дуон, Ту Хуон: Лабіринт: Оповідання, № 07"
3180,1980 - 1990,Vietnam
3181,1980 - 1990,Vietnamese
3182,1980 - 1990,1984
3183,1984,"Зионг, Хионг Лі: Наша з тобою розмова: Вірш, № 10"
3184,1970 - 1980,Vietnam
3185,1970 - 1980,Vietnamese
3186,1970 - 1980,1978
3187,1978,"І, Ньї: Ким, синку, завтра станеш ти?: Вірш, № 09"
3188,1960 - 1970,Vietnam
3189,1960 - 1970,English
3190,1960 - 1970,1967
3191,1967,"Лам, Донг: Перші кроки: Оповідання, № 11"
3192,1980 - 1990,Vietnam
3193,1980 - 1990,Vietnamese
3194,1980 - 1990,1984
3195,1984,"Лам, Тхі Мі За: Дівчина з Казао: Вірш, № 10"
3196,1980 - 1990,Vietnam
3197,1980 - 1990,Vietnamese
3198,1980 - 1990,1984
3199,1984,"Ле, Тхі Май: Зорі, № 10"
3200,1980 - 1990,Vietnam
3201,1980 - 1990,Vietnamese
3202,1980 - 1990,1984
3203,1984,"Ле, Тхі Май: Ти прийшов після війни: [Поезії], № 10"
3204,1960 - 1970,Vietnam
3205,1960 - 1970,Vietnamese
3206,1960 - 1970,1969
3207,1969,"Ле, Тхі Май: Поезії, № 08"
3208,1970 - 1980,Vietnam
3209,1970 - 1980,Vietnamese
3210,1970 - 1980,1979
3211,1979,"Нгуєн, Ван Бонг: Початок наступу: Оповідання, № 06"
3212,1970 - 1980,Vietnam
3213,1970 - 1980,Vietnamese
3214,1970 - 1980,1972
3215,1972,"Нгуєн, Дінь Тьєу: Пам’яті героїв Кензуока: Поезія у прозі, № 08"
3216,1970 - 1980,Vietnam
3217,1970 - 1980,Vietnamese
3218,1970 - 1980,1977
3219,1977,"Нгуєн, Зуан Шань: На Красній площі: Вірш, № 11"
3220,1980 - 1990,Vietnam
3221,1980 - 1990,Vietnamese
3222,1980 - 1990,1984
3223,1984,"Нгуєн, Зуй: Місяць, № 10"
3224,1980 - 1990,Vietnam
3225,1980 - 1990,Vietnamese
3226,1980 - 1990,1984
3227,1984,"Нгуєн, Зуй: Звуки, збуджені твоїми руками: Поезії, № 10"
3228,1980 - 1990,Vietnam
3229,1980 - 1990,Vietnamese
3230,1980 - 1990,1984
3231,1984,"Нгуєн, Мі: Червоним вкарбувалася розлука, № 10"
3232,1980 - 1990,Vietnam
3233,1980 - 1990,Vietnamese
3234,1980 - 1990,1984
3235,1984,"Нгуєн, Мі: Стежина: Поезії, № 10"
3236,1970 - 1980,Vietnam
3237,1970 - 1980,Vietnamese
3238,1970 - 1980,1975
3239,1975,"Нгуєн(Нгуен), Тхі Кам Тхань: Біля моря: Оповідання, № 09"
3240,1970 - 1980,Vietnam
3241,1970 - 1980,Vietnamese
3242,1970 - 1980,1974
3243,1974,"Нгуєн(Нгуен), Тхі Кам Тхань: За Киавієтом: Оповідання, № 03"
3244,1970 - 1980,Vietnam
3245,1970 - 1980,Vietnamese
3246,1970 - 1980,1978
3247,1978,"Нгуєн, Хонг: Гроші з тюрем фашистської Іспанії: [Вірш], № 09"
3248,1970 - 1980,Vietnam
3249,1970 - 1980,Vietnamese
3250,1970 - 1980,1971
3251,1971,"Нгуєн, Шанг: Дівчинка шукає тата: Оповідання, № 02"
3252,1980 - 1990,Vietnam
3253,1980 - 1990,-
3254,1980 - 1990,1985
3255,1985,"Суан, Зієу: Чаша з водою питною: Вірш, № 09"
3256,1960 - 1970,Vietnam
3257,1960 - 1970,Vietnamese
3258,1960 - 1970,1969
3259,1969,"Тан, Ча: Заповіт вождя: Вірш, № 11"
3260,1970 - 1980,Vietnam
3261,1970 - 1980,Vietnamese
3262,1970 - 1980,1975
3263,1975,"Те, Хань: Весна сімдесят п’ятого року: Вірш, № 09"
3264,1970 - 1980,Vietnam
3265,1970 - 1980,Vietnamese
3266,1970 - 1980,1979
3267,1979,"То, Хну: З тих пір: Вірш, № 06"
3268,1970 - 1980,Vietnam
3269,1970 - 1980,Vietnamese
3270,1970 - 1980,1977
3271,1977,"То, Хну: Поезії, № 03"
3272,1950 - 1960,Vietnam
3273,1950 - 1960,English
3274,1950 - 1960,1959
3275,1959,"То, Хоай: Подружжя А Фу: Повість, № 09"
3276,1980 - 1990,Vietnam
3277,1980 - 1990,Vietnamese
3278,1980 - 1990,1984
3279,1984,"Тхань, Тунг: На кордоні, № 10"
3280,1980 - 1990,Vietnam
3281,1980 - 1990,Vietnamese
3282,1980 - 1990,1984
3283,1984,"Тхань, Тунг: Вітер: Поезії, № 10"
3284,1980 - 1990,Vietnam
3285,1980 - 1990,-
3286,1980 - 1990,1985
3287,1985,"Тхань, Тхао: Вірші-гасла, № 09"
3288,1970 - 1980,Vietnam
3289,1970 - 1980,Vietnamese
3290,1970 - 1980,1978
3291,1978,"Тхань, Хай: Ім’я Вітчизни: Вірш, № 09"
3292,1950 - 1960,Vietnam
3293,1950 - 1960,Vietnamese
3294,1950 - 1960,1958
3295,1958,"Тхать, Лам: В запалі злості: Оповідання, № 03"
3296,1980 - 1990,Vietnam
3297,1980 - 1990,-
3298,1980 - 1990,1985
3299,1985,"Фам, Нгок Кань: Історія: Поезія, № 09"
3300,1960 - 1970,Vietnam
3301,1960 - 1970,-
3302,1960 - 1970,1967
3303,1967,"Фан, Ти: Сутичка на мосту: Оповідання, № 11"
3304,1980 - 1990,Vietnam
3305,1980 - 1990,Vietnamese
3306,1980 - 1990,1984
3307,1984,"Хну, Тхінь: Купання під дощем, № 10"
3308,1980 - 1990,Vietnam
3309,1980 - 1990,Vietnamese
3310,1980 - 1990,1984
3311,1984,"Хну, Тхінь: Соснові ящики: [Поезії], № 10"
3312,1960 - 1970,Vietnam
3313,1960 - 1970,French
3314,1960 - 1970,1963
3315,1963,"Хо, Ші Мін: Поезії, № 04"
3316,1980 - 1990,Vietnam
3317,1980 - 1990,Vietnamese
3318,1980 - 1990,1980
3319,1980,"Хо, Ші Мін: Поезії, № 09"
3320,1970 - 1980,Vietnam
3321,1970 - 1980,Vietnamese
3322,1970 - 1980,1978
3323,1978,"Хоай, Ань: Нові рими і мотиви: Вірш, № 09"
3324,1980 - 1990,Vietnam
3325,1980 - 1990,Vietnamese
3326,1980 - 1990,1986
3327,1986,"Хоанг, Чунг Тхонг: Поезії, № 01"
3328,1970 - 1980,Vietnam
3329,1970 - 1980,Vietnamese
3330,1970 - 1980,1978
3331,1978,"Чінь, Хай: Куба: Вірш, № 09"
3332,1930 - 1940,Armenia
3333,1930 - 1940,Armenian
3334,1930 - 1940,1932
3335,1932,"В’штуні, Азат: Бомбей: Вірш, № 31/33"
3336,1970 - 1980,Haiti
3337,1970 - 1980,French
3338,1970 - 1980,1974
3339,1974,"Брієр, Жан: Black Soul: Уривок з вірша, № 05"
3340,1970 - 1980,Haiti
