id,source,target,color
"Оренго, Ніно: Місячні п’яниці: [Вірш], № 06",1960 - 1970,1965,#84B5B18
"Павезе, Чезаре: Моє село, № 10",1965,"Петров, Ангел: Історія однієї колиски: Повість, № 05",#D1605E
"Павезе, Чезаре: Море, № 10",1960 - 1970,Bulgaria,#E59260
"Павезе, Чезаре: Кукурудзяне поле, № 10",1960 - 1970,Bulgarian,#F2A2A24
"Павезе, Чезаре: Працювати - це втіха, № 10",1960 - 1970,1968,#84B5B26
"Павезе, Чезаре: Наврочив, № 10",1968,"Петров, Валері: Добрі листи: Вірш, № 03",#84B5B27
"Павезе, Чезаре: Пустельник, № 10",1970 - 1980,Bulgaria,#D1605E
"Павезе, Чезаре: Сільські свята, № 10",1970 - 1980,Bulgarian,#E59260
"Павезе, Чезаре: Давнє ремесло, № 10",1970 - 1980,1974,#F2A2A24
"Павезе, Чезаре: Місто, № 10",1974,"Петров, Івайло: Безладний щоденник: Роман, № 01",#84B5B19
"Павезе, Чезаре: Пшеничний лан, № 10",1970 - 1980,Bulgaria,#D1605E
"Павезе, Чезаре: Роки: Новели, № 10",1970 - 1980,Bulgarian,#E59261
"Павезе, Чезаре: [Поезії], № 12",1970 - 1980,1974,#F2A2A25
"Педролі, Амлето: Коло: [Вірш], № 02",1974,"Петров, Івайло: Безладний щоденник: Роман, № 02",#84B5B25
"Пеллікано, Ауреліо: Вулиця щастя: Оповідки, № 02",1980 - 1990,Bulgaria,#84B5B26
"Петрарка, Франческо: На смерть Лаури: Сонети, № 10",1980 - 1990,Bulgarian,#D1605E
"Петрарка, Франческо: [Сонети], № 08",1980 - 1990,1987,#E59261
"П’єрсанті, Умберто: [Поезії], № 05",1987,"Петров, Івайло: Брехун, № 06",#F2A2A25
"Пікколо, Лучо: [Поезії], № 06",1980 - 1990,Bulgaria,#84B5B20
"Піранделло, Луїджі: Дурень: Комедія, № 02",1980 - 1990,Bulgarian,#D1605E
"Піранделло, Луїджі: [Поезії], № 06",1980 - 1990,1987,#E59262
"Піранделло, Луїджі: Посвист поїзда, № 02",1987,"Петров, Івайло: Кандидат у женихи, № 06",#F2A2A26
"Піранделло, Луїджі: Шлюбна ніч: Оповідання, № 02",1980 - 1990,Bulgaria,#84B5B17
"Понці, Мауро: Надто: [Вірш], № 05",1980 - 1990,Bulgarian,#D1605E
"Порта, Антоніо: Жебрачка дивиться на мене: [Вірш], № 06",1980 - 1990,1987,#E59259
"Пьйовене, Гвідо: Листи послушниці: Роман, № 10",1987,"Петров, Івайло: Олень, № 06",#F2A2A23
"Рамелла-Баньєрі, Джованні: [Поезії], № 12",1980 - 1990,Bulgaria,#84B5B18
"Ріпелліно, Анджело Марія: [Поезії], № 06",1980 - 1990,Bulgarian,#D1605E
"Роверсі, Роберто: Вечеря в домі Симона: [Вірш], № 06",1980 - 1990,1987,#E59260
"Роверсі, Роберто: Тридцять поезій: Уривки, № 05",1987,"Петров, Івайло: Затяті люди, № 06",#F2A2A24
"Родарі, Джанні: Короткі байки [у прозі], № 05",1980 - 1990,Bulgaria,#84B5B26
"Родарі, Джанні: Пісня залізних штахет, № 05",1980 - 1990,Bulgarian,#84B5B27
"Родарі, Джанні: Життя, присвячене етології: Оповідання, № 05",1980 - 1990,1987,#D1605E
"Родарі, Джанні: Планета Новорічних Ялинок: Оповідання для дітей віком від 6 до 90 р, № 10",1987,"Петров, Івайло: Ромео, № 06",#E59260
"Росселлі, Амелія: [Поезії], № 05",1980 - 1990,Bulgaria,#F2A2A24
"Россо, Ренцо: Коротка подорож: Оповідання, № 02",1980 - 1990,Bulgarian,#84B5B19
"Руффіллі, Паоло: Чи це і справді вигадка прекрасна?: [Вірш], № 05",1980 - 1990,1987,#D1605E
"Саба, Умберто: [Поезії], № 08",1987,"Петров, Івайло: Циганська рапсодія: Оповідання, № 06",#E59261
"Сангвінетті, Едоардо: Балада про жінок, № 06",1980 - 1990,Bulgaria,#F2A2A25
"Серені, Вітторіо: Епізод однієї поразки: [Вірш], № 04",1980 - 1990,Bulgarian,#84B5B25
"Серені, Вітторіо: [Поезії], № 06",1980 - 1990,1983,#84B5B26
"Солдаті, Маріо: Смерть Флока: Оповідання, № 03",1983,"Петров, Івайло: Дядькова коханка: Оповідання, № 01",#D1605E
"Спаціані, Марія-Луїза: [Поезії], № 05",1980 - 1990,Bulgaria,#E59261
"Стента, Урбано: О стольний град...: [Вірш], № 05",1980 - 1990,Bulgarian,#F2A2A25
"Страті, Саверіо: Лицемірство: Новела, № 03",1980 - 1990,1981,#84B5B20
"Тавілла, Еліо: [Поезії], № 06",1981,"Попов, Васил: Час для роздумів і час для дії: Роман, № 09",#D1605E
"Томасео, Нікольо: Відвага й надія: [Вірш], № 03",1980 - 1990,Bulgaria,#E59262
"Тофанеллі, Артуро: Тісний черевик: Оповідання, № 09",1980 - 1990,Bulgarian,#F2A2A26
"Унгаретті, Джузеппе: [Поезії], № 05",1980 - 1990,1981,#84B5B17
"Фава, Джузеппе: Достойні громадяни: Роман, № 02",1981,"Попов, Васил: Час для роздумів і час для дії: Роман, № 10",#D1605E
"Фава, Джузеппе: Достойні громадяни: Роман, № 03",1980 - 1990,Bulgaria,#E59259
"Фенольйо, Беппе: Особиста справа: Роман, № 08",1980 - 1990,Bulgarian,#F2A2A23
"Філіппо, Едуардо де: Вертеп пана Куп’єл-ло: Комедія, № 12",1980 - 1990,1981,#84B5B18
"Флайяно, Енніо: Війна у популярному викладі: П’єса-фарс, № 07",1981,"Попов, Васил: Час для роздумів і час для дії: Роман, № 11",#D1605E
"Фонтанелля, Луїджі: Безсмертний вулик: [Вірш], № 05",1990 - 2000,Bulgaria,#E59260
"Фратантоніо, Кармела: [Поезії], № 06",1990 - 2000,Bulgarian,#F2A2A24
"Цейкен, Валентино: Час і рух: [Вірш], № 06",1990 - 2000,1998,#84B5B26
"Чеккеріні, Сільвано: Каміння на всіх дорогах: Роман: Скорочено, № 07",1998,"Попов, Йордан: Касабланка: Повість, № 01",#84B5B27
"Чеккеріні, Сільвано: Каміння на всіх дорогах: Роман: Скорочено, № 08",1970 - 1980,Bulgaria,#D1605E
"Чеккеріні, Сільвано: Коли минає гнів: Повість, № 11",1970 - 1980,Bulgarian,#E59260
"Чеккеріні, Сільвано: Помилуваний смертю: Роман, № 05",1970 - 1980,1975,#F2A2A24
"Чеккеріні, Сільвано: Помилуваний смертю: Роман, № 06",1975,"Радевський, Христо: Армія-визволитель-ка: [Вірш], № 05",#84B5B19
"Шаша, Леонардо: Будь-яким способом: Повість, № 01",1980 - 1990,Bulgaria,#D1605E
"Шаша, Леонардо: Далека подорож: Новела, № 03",1980 - 1990,Bulgarian,#E59261
"Шаша, Леонардо: Філологія, № 02",1980 - 1990,1986,#F2A2A25
"Шаша, Леонардо: Екзамен, № 02",1986,"Радевський, Христо: До читача: Вірш, № 09",#84B5B25
"Шаша, Леонардо: Апокриф про випадок з Кроулі: Оповідання, № 02",1980 - 1990,Bulgaria,#84B5B26
"Щербаненко, Джорджо: Приватна Венера: Роман, № 07",1980 - 1990,Bulgarian,#D1605E
"Щербаненко, Джорджо: Тенета зради: Роман, № 09",1980 - 1990,1985,#E59261
"Якоббі, Руджеро: [Поезії], № 05",1985,"Радевський, Христо: Ласкаво просимо: Вірш, № 05",#F2A2A25
"Якопоне да Тоді: Пані з раю: [Вірш], № 02",1960 - 1970,Bulgaria,#84B5B20
Jordan,1960 - 1970,Bulgarian,#D1605E
"Тукан, Фадва: Не розкидайсь коханням...: [Вірш], № 06",1960 - 1970,1963,#E59262
Cameroon,1963,"Радевський, Христо: Поезії, № 07",#F2A2A26
"Бото, Еза: Жорстоке місто: Повість: Скорочено, № 02",1970 - 1980,Bulgaria,#84B5B24
"Йондо, Елолонге Епанья: Тамтам: [Вірш], № 06",1970 - 1980,Bulgarian,#84B5B25
"Санга-Куо, Франсуа: [Поезії], № 09",1970 - 1980,1970,#D1605E
Canada. Literature in English,1970,"Радевський, Христо: Слово вождя: Вірш, № 07",#E59262
"Арнасон, Девід: Оповідки з «Бару циркачів», № 03",1960 - 1970,Bulgaria,#84B5B18
"Блісс, Кармен: Пісня бродяги: [Вірш], № 43",1960 - 1970,Bulgarian,#D1605E
"Валгардсон, Вільям [У. Д.]: Добросерді грішники: Роман, № 12",1960 - 1970,1965,#E59260
"Валгардсон, Вільям [У. Д.]: Кривавник, № 07",1965,"Радевський, Христо: Хай сяє світло: Вірш, № 11",#F2A2A24
"Валгардсон, Вільям [У. Д.]: Милосердя, № 07",1980 - 1990,Bulgaria,#84B5B19
"Валгардсон, Вільям [У. Д.]: Співвітчизники, № 07",1980 - 1990,Bulgarian,#D1605E
"Валгардсон, Вільям [У. Д.]: Робота, № 07",1980 - 1990,1981,#E59261
"Валгардсон, Вільям [У. Д.]: Бог - не інспектор рибного нагляду, № 07",1981,"Радичков(Радічков), Йордан: Випадкова пасажирка: Оповідання, № 05",#F2A2A25
"Валгардсон, Вільям [У. Д.]: У Манітобі, № 07",1970 - 1980,Bulgaria,#84B5B28
"Валгардсон, Вільям [У. Д.]: Ділові стосунки, № 07",1970 - 1980,Bulgarian,#84B5B29
"Валгардсон, Вільям [У. Д.]: Капітал: Оповідання, № 07",1970 - 1980,1974,#D1605E
"Вілсон, Етель: А нам сидіти напроти: Оповідання, № 11",1974,"Радичков(Радічков), Йордан: Гожий день серед осені: Оповідання, № 09",#E59261
"Гарнер, Х’ю: Збирання тютюну: Оповідання, № 12",1960 - 1970,Bulgaria,#F2A2A25
"Гловер, Дуглас: У Саскатуні собака хотів утопити людину: Оповідання, № 01",1960 - 1970,Bulgarian,#84B5B20
"Гроу, Фредерік Філіп: Хуртовина: Оповідання, № 04",1960 - 1970,1966,#D1605E
"Гуд, Х’ю: Червоний змій, № 07",1966,"Радичков(Радічков), Йордан: Гори в цвіту, № 03",#E59262
"Гуд, Х’ю: Та він її просто обожнює!: Оповідання, № 07",1960 - 1970,Bulgaria,#F2A2A26
"Джонсон, Полін (Текайонуейк): Злодій: [Вірш], № 04",1960 - 1970,Bulgarian,#84B5B27
"Джонсон, Полін (Текайонуейк): Сивашська скеля, № 04",1960 - 1970,1966,#84B5B28
"Джонсон, Полін (Текайонуейк): Загублений острів: Легенди, № 04",1966,"Радичков(Радічков), Йордан: Пора спогадів, № 03",#D1605E
"Джонсон, Полін (Текайонуейк): [Поезії], № 02",1960 - 1970,Bulgaria,#E59262
"Етвуд, Маргарет: [Поезії], № 05",1960 - 1970,Bulgarian,#F2A2A26
"Картер, Дайсон: Куди не досягають хвилі добробуту: Літ. етюди, № 01",1960 - 1970,1966,#84B5B21
"Касл Джон & Гейлі Артур: 714 кличе на допомогу: Повість, № 09",1966,"Радичков(Радічков), Йордан: Зелена долина, № 03",#D1605E
"Келеген, Морлі: Щастя знайдеш на небі: Роман, № 08",1960 - 1970,Bulgaria,#E59263
"Кінг, Френсіс: Заморожена музика: Роман, № 07",1960 - 1970,Bulgarian,#F2A2A27
"Кінселла В. П: Чорний вампум, № 11",1960 - 1970,1966,#84B5B4
"Кінселла В. П: Дотепник: Оповідання, № 11",1966,"Радичков(Радічков), Йордан: Сонце, № 03",#84B5B3
"Коломбо, Джон Роберт: Переселенці: [Вірш], № 05",1960 - 1970,Bulgaria,#84B5B3
"Кулі, Деніс: Поезії з книжки «Кривавий Джек», № 11",1960 - 1970,Bulgarian,#D1605E
"Купченко-Фролик, Глорія: Курячий дядько: Повість, № 11",1960 - 1970,1966,#E59260
"Лайвсей, Дороті: [Поезії], № 09",1966,"Радичков(Радічков), Йордан: Юсуп, № 03",#F2A2A24
"Лікок, Стівен: Салуніо: Оповідання, № 07",1960 - 1970,Bulgaria,#84B5B19
"Моует, Фарлі: Володар снігів, № 03",1960 - 1970,Bulgarian,#D1605E
"Моует, Фарлі: Як осліп Андре Малош, № 03",1960 - 1970,1966,#E59261
"Моует, Фарлі: Чужинець у Тарансеї, № 03",1966,"Радичков(Радічков), Йордан: Пісенька, № 03",#F2A2A25
"Моует, Фарлі: Не вбивай білого вовка: Оповідання, № 03",1960 - 1970,Bulgaria,#84B5B28
"Моует, Фарлі: І жодна пташка не співала: Урив. З повісті, № 03",1960 - 1970,Bulgarian,#84B5B29
"Мур, Брайєн: Велика вікторіанська колекція: Роман, № 05",1960 - 1970,1966,#D1605E
"Мур, Брайєн: Велика вікторіанська колекція: Роман, № 06",1966,"Радичков(Радічков), Йордан: Збирачі смоли: Оповідання, № 03",#E59261
"Нідхем, Річард: «Поради містера Нідхема»: Гумор, мініатюри, № 06",1970 - 1980,Bulgaria,#F2A2A25
"Осборн, Маргот: [Поезії], № 9/10",1970 - 1980,Bulgarian,#84B5B20
"Рига, Джордж: Воскресіння: Поема, № 12",1970 - 1980,1978,#D1605E
"Рига, Джордж: Голодні гори: Повість, № 06",1978,"Радичков(Радічков), Йордан: Кросворд, № 04",#E59262
"Рига, Джордж: Заручини, № 07",1970 - 1980,Bulgaria,#F2A2A26
"Рига, Джордж: Дружина Сіда Малана: Оповідання, № 07",1970 - 1980,Bulgarian,#84B5B27
"Рига, Джордж: Індіанець: П’єса, № 01",1970 - 1980,1978,#84B5B28
"Рига, Джордж: Тіні стерв’ятників: Роман, № 01",1978,"Радичков(Радічков), Йордан: Батьків слід, № 04",#D1605E
"Річлер, Мордекай: Бенні, № 11",1970 - 1980,Bulgaria,#E59262
"Річлер, Мордекай: Війна в Європі та Майєрсонова дочка Бела: Оповідання, № 11",1970 - 1980,Bulgarian,#F2A2A26
"Робертс, Чарлз: Визволення: Оповідання, № 07",1970 - 1980,1978,#84B5B21
"Саустер, Реймонд: [Поезії], № 05",1978,"Радичков(Радічков), Йордан: Бройлер: Новели, № 04",#D1605E
"Сервіс, Роберт: Канада - країна, забута богом: [Вірш], № 08",1970 - 1980,Bulgaria,#E59263
"Сервіс, Роберт: [Поезії], № 01",1970 - 1980,Bulgarian,#F2A2A27
"Томсон, І. В: Привілеї кордонів: Оповідання, № 08",1970 - 1980,1974,#84B5B18
"Уоллес, Джо: [Поезії], № 04",1974,"Разцветников, Асен: Поезії, № 09",#D1605E
"Уоллес, Джо: [Поезії], № 10",1980 - 1990,Bulgaria,#E59260
"Уоллес, Джо: П’ятикутна зірка: [Вірш], № 11",1980 - 1990,Bulgarian,#F2A2A24
"Уоллес, Джо: Сага про доктора Бетьюна, № 06",1980 - 1990,1985,#84B5B19
"Уоллес, Джо: «Шишки»: [Вірші], № 06",1985,"Райнов, Богомил: Не сміши мене: Роман, № 8,9",#D1605E
"Уорр, Бертрам: Невічне серце, № 05",1980 - 1990,Bulgaria,#E59261
"Уорр, Бертрам: Діти в сутінках: [Вірші], № 05",1980 - 1990,Bulgarian,#F2A2A25
Canada. Literature in French,1980 - 1990,1984,#84B5B28
"Гарно, Ектор Сен-Дені де: Усі і кожен, № 09",1984,"Райнов, Богомил: Нічні бульвари: Оповідання, № 12",#84B5B29
"Гарно, Ектор Сен-Дені де: «Під червоним небом моїх повік...»: [Вірші], № 09",1970 - 1980,Bulgaria,#D1605E
"Гарно, Ектор Сен-Дені де: Це там без опори: [Вірш], № 05",1970 - 1980,Bulgarian,#E59261
"Гранбуа, Ален: [Поезії], № 09",1970 - 1980,1970,#F2A2A25
"Гранмон, Елуа де: [Поезії], № 09",1970,"Райнов, Богомил: Пам’ятник: Вірш, № 04",#84B5B20
"Ебер, Анна: [Поезії], № 09",1980 - 1990,Bulgaria,#D1605E
"Ено, Жіль: Тебе вітаю, країно: [Вірш], № 11",1980 - 1990,Bulgarian,#E59262
"Ланьє, Ріна: [Поезії], № 09",1980 - 1990,1982,#F2A2A26
"Ланьє, Ріна: Разом, № 05",1982,"Райнов, Богомил: Ранок дня не визначає: Роман, № 10",#84B5B27
"Ланьє, Ріна: Біля води: [Вірші], № 05",1980 - 1990,Bulgaria,#84B5B28
"Лапуент, Гасьєн: Ода річці: Уривок: [Вірш], № 05",1980 - 1990,Bulgarian,#D1605E
"Лапуент, Поль-Марія: Яка любов?: [Вірш], № 05",1980 - 1990,1982,#E59262
"Майє, Андре: Божественна евтимія: Оповідання, № 02",1982,"Райнов, Богомил: Ранок дня не визначає: Роман, № 11",#F2A2A26
"Мірон, Гастон: З тобою, № 05",1960 - 1970,Bulgaria,#84B5B21
"Мірон, Гастон: Ті, що вимруть: [Вірші], № 05",1960 - 1970,Bulgarian,#D1605E
"Морансі, П’єр: [Поезії], № 09",1960 - 1970,1968,#E59263
"Неліган [|Нелліган], Еміль: Золотий корабель: Сонет, № 11",1968,"Раковський, Витьо: Життя: Вірш, № 07",#F2A2A27
"Неліган [|Нелліган], Еміль: [Поезії], № 5/6",1970 - 1980,Bulgaria,#84B5B18
"Параді, Сюзанна: «Є дні, коли я здаюся негарною», № 09",1970 - 1980,Bulgarian,#D1605E
"Параді, Сюзанна: Кінець одного світу: [Вірші], № 09",1970 - 1980,1974,#E59260
"Параді, Сюзанна: Заручини: [Вірш], № 05",1974,"Раковський, Витьо: Поезії, № 09",#F2A2A24
"Пілон, Жан-Гі: [Поезії], № 09",1980 - 1990,Bulgaria,#84B5B19
"Пілон, Жан-Гі: Чужинець на своїй землі: [Вірш], № 11",1980 - 1990,Bulgarian,#D1605E
"Піше, Альфонс: Мряка, № 09",1980 - 1990,1986,#E59261
"Піше, Альфонс: Вир: [Вірші], № 09",1986,"Ралін, Радой: Зацікавленість, № 09",#F2A2A25
"Рутьє, Сімона: Сніг і ностальгія: [Вірш], № 05",1980 - 1990,Bulgaria,#84B5B28
"Сікот, Сільвія: [Поезії], № 09",1980 - 1990,Bulgarian,#84B5B29
Kenya,1980 - 1990,1986,#D1605E
"Мвангі, Меджа: Вартові савани: Роман, № 03",1986,"Ралін, Радой: Жертва мистецтва: Вірші, № 09",#E59261
"Нгугі, Ва Тхіонго [Нгугі: Відійшла з посухою: Оповідання, № 06",1980 - 1990,Bulgaria,#F2A2A25
"Нгугі, Ва Тхіонго [Нгугі: Пшеничне зерно: Роман, № 10",1980 - 1990,Bulgarian,#84B5B20
"Нгугі, Ва Тхіонго [Нгугі: Пшеничне зерно: Роман, № 11",1980 - 1990,1985,#D1605E
China,1985,"Ралін, Радой: Переправа: Вірш, № 05",#E59262
Chinese,1970 - 1980,Bulgaria,#F2A2A26
"Ай, У: Донор: Оповідання, № 02",1970 - 1980,Bulgarian,#84B5B27
"Ай, Цін: Закам’яніла риба: [Вірш], № 10",1970 - 1980,1978,#84B5B28
"Беі, Дао: Життя художника: [Вірш], № 03",1978,"Северняк, Серафим: Сентиментальна історія: Новела, № 04",#D1605E
Old Chinese,1980 - 1990,Bulgaria,#E59262
"Бо, Цзюй-і: Два чотиривірші над озерцем: [Поезія], № 01",1980 - 1990,Bulgarian,#F2A2A26
"Ван, Вень-Ші: Мань-мань: Оповідання, № 08",1980 - 1990,1988,#84B5B21
"Ван, Мен: Випадковості, № 09",1988,"Славейков, Петко: Джерело Білоногої: Поема, № 12",#D1605E
"Ван, Мен: Розгін начальників (і ще дещо), № 09",1980 - 1990,Bulgaria,#E59263
"Ван, Мен: Полемічна недуга, № 09",1980 - 1990,Bulgarian,#F2A2A27
"Ван, Мен: Борець за єдність, № 09",1980 - 1990,1984,#84B5B26
"Ван, Мен: До питання про апетит: Оповід., гуморески, № 09",1984,"Славчев, Светослав: Подай руку Аріе-леві: Оповідання, № 10",#84B5B27
"Вань, Чживень: Добра порада: Байка, № 01",1950 - 1960,Bulgaria,#D1605E
"Вень, Су: Так і скажи!: Байка, № 01",1950 - 1960,Bulgarian,#E59263
"Гу, Хуа: Подружня вірність: Повість, № 10",1950 - 1960,1959,#84B5B19
"Гу, Чхан: Тиха біда: [Вірш], № 03",1959,"Смирненський, Христо: -, № 05",#D1605E
"Ден Чжун-ся: До перемоги!: [Вірш], № 07",1950 - 1960,Bulgaria,#E59261
"Ду, Пен-Чен: Китайська жінка: Оповідання, № 10",1950 - 1960,Bulgarian,#F2A2A25
"Ду, Фу: [Поезії], № 12",1950 - 1960,1958,#84B5B20
"Жао, Чжан-фин: Голос миру: [Вірш], № 05",1958,"Смирненський, Христо: Поезії, № 04",#D1605E
"Жень, Веньжань: Сальто: [Байка], № 01",1960 - 1970,Bulgaria,#E59262
"Лі, Бо: [Поезії], № 06",1960 - 1970,Bulgarian,#F2A2A26
"Лі, Бо: [Поезії], № 12",1960 - 1970,1964,#84B5B30
"Лі, Бо: [Поезії], № 5/6",1964,"Спасов, Павел: Гріховна любов зографа Захарія: Легенда, № 11",#84B5B31
"Лі, Вей-лунь: Любов: Повість, № 03",1970 - 1980,Bulgaria,#D1605E
"Лі, Ган: Мости: [Вірш], № 10",1970 - 1980,Bulgarian,#E59262
"Лі, Ін: На переправі через Хуанхе: [Вірш], № 10",1970 - 1980,1978,#F2A2A26
"Лі, Ке та Лі Вей-Хань: Підземна війна: Роман, № 03",1978,"Станев, Еміліан: Дикий рогань: Новела, № 04",#84B5B21
"Лі, Ке та Лі Вей-Хань: Підземна війна: Роман, № 04",1970 - 1980,Bulgaria,#D1605E
"Ло, Бін-цзи: Батько й дочка: Оповідання, № 10",1970 - 1980,Bulgarian,#E59263
"Лю, Гун: Дай відповідь: [Вірш], № 10",1970 - 1980,1974,#F2A2A27
"Лю, Шао-нань: Відповідь на допиті: [Вірш], № 07",1974,"Станев, Еміліан: Смерть птаха: Оповідання, № 09",#84B5B29
"Лю, Шахе: Я - вишневий цвіт: [Поезія], № 10",1970 - 1980,Bulgaria,#84B5B30
"Мао, Мао: [Поезії], № 03",1970 - 1980,Bulgarian,#D1605E
"Мао, Цзе-дун: [Поезії], № 08",1970 - 1980,1979,#E59263
"Пен, Цзяньмін: Стара рушниця: Оповідання, № 01",1979,"Станев, Еміліан: Taco: Повість, № 08",#F2A2A27
"Фан, Чжи-мінь: Я - молодий пролетар: [Вірш], № 07",1960 - 1970,Bulgaria,#84B5B22
"Фу, Інь: Різні шляхи: [Вірш], № 07",1960 - 1970,Bulgarian,#D1605E
"Хе, Ці-фан: Синам Жовтня: [Вірш], № 05",1960 - 1970,1966,#E59264
"Цзоу, Хофань: Маленька чайка: [Вірш], № 10",1966,"Станев, Любен: Цар і генерал: Кіноповість, № 12",#F2A2A28
"Чжан, Канкан: Літо: Оповідання, № 03",1980 - 1990,Bulgaria,#84B5B4
"Чжан, Сянь: Коханням забутий куточок: Оповідання, № 03",1980 - 1990,Bulgarian,#84B5B3
"Чжан, Чжимінь: Осінній вітер у Тайхані: [Вірш], № 10",1980 - 1990,1985,#84B5B3
"Чжоу, Кецінь: Незабудка: Оповідання, № 03",1985,"Стефанов, Димитр: Вересень: Вірш, № 05",#D1605E
"Чжу, Цзицін: Озеро Білого Лошака, № 04",1950 - 1960,Bulgaria,#E59261
"Чжу, Цзицін: Один місяць у Чуньгуей, № 04",1950 - 1960,Bulgarian,#F2A2A25
"Чжу, Цзицін: Біла людина, № 04",1950 - 1960,1959,#84B5B20
"Чжу, Цзицін: Божий мазун, № 04",1959,"Стефанов, Пирван: Завія: Вірш, № 09",#D1605E
"Чжу, Цзицін: Жінка, № 04",1980 - 1990,Bulgaria,#E59262
"Чжу, Цзицін: Місячна ніч на ставку лотосів, № 04",1980 - 1990,Bulgarian,#F2A2A26
"Чжу, Цзицін: Роздуми коли нема чого сказати: Саньвень, № 04",1980 - 1990,1985,#84B5B30
"Шао, Яньсан: Якщо життя почнеться спочатку, № 10",1985,"Стефанов, Пирван: Кадр із телевізора, № 05",#84B5B31
"Шао, Яньсан: Перше кохання: [Вірші], № 10",1980 - 1990,Bulgaria,#D1605E
"Шу, Тін [Шу Тхинь]: О Батьківщино, моя люба Батьківщино!: [Вірш], № 10",1980 - 1990,Bulgarian,#E59262
"Шу, Тін [Шу Тхинь]: Осінні роздуми: [Вірш], № 03",1980 - 1990,1985,#F2A2A26
"Ю Кван: Молодий мисливець: Оповідання:, № 02",1985,"Стефанов, Пирван: До Радянського Союзу: Поезії, № 05",#84B5B21
"Юань, Шуй-по: Бабуся Мен малює картину на стіні, № 02",1980 - 1990,Bulgaria,#D1605E
"Юань, Шуй-по: Я ходжу по полях край Ташкента: [Вірші], № 02",1980 - 1990,Bulgarian,#E59263
"Ян Ліан: Порівняння зі смертю: [Вірш], № 03",1980 - 1990,1985,#F2A2A27
"Яо Шаньбі: Батько: Поема, № 10",1985,"Стефанова, Ліляна: Поезії, № 10",#84B5B29
Cyprus,1970 - 1980,Bulgaria,#84B5B30
"Антіас, Тевкрос: Декларація, № 08",1970 - 1980,Bulgarian,#D1605E
"Антіас, Тевкрос: Тріо: [Вірші], № 08",1970 - 1980,1971,#E59263
"Ліасідіс, Павлос: У нас ще немає свободи, № 08",1971,"Сгоєв, Генчо: Господинко: Оповідання, № 12",#F2A2A27
"Ліасідіс, Павлос: Переміна: [Поезії], № 08",1970 - 1980,Bulgaria,#84B5B22
"Молескіс, Йоргос: [Поезії], № 08",1970 - 1980,Bulgarian,#D1605E
"Молескіс, Йоргос: [Поезії], № 02",1970 - 1980,1978,#E59264
"Ніколаїдіс, Нікос: Скелет: Повість, № 12",1978,"Сгоєв, Генчо: Ластівка: Новела, № 04",#F2A2A28
"Пеоніду, Еллі: [Поезії], № 07",1970 - 1980,Bulgaria,#84B5B19
"Піерідіс, Феодосіє: Приснилось хлопчику сонце, № 08",1970 - 1980,Bulgarian,#D1605E
"Піерідіс, Феодосіє: Нікос Нікифорідіс: [Вірші], № 08",1970 - 1980,1970,#E59261
"Піліотіс, Ахіллеас: Обов’язок: [Вірш], № 08",1970,"Стоянов, Людмил: Провидець: Вірш, № 01",#F2A2A25
"Піліотіс, Ахіллеас: Пісня про вбиту дівчинку, № 08",1960 - 1970,Bulgaria,#84B5B20
"Піліотіс, Ахіллеас: Земле моя: [Вірші], № 08",1960 - 1970,Bulgarian,#D1605E
"Філакту, Такіс: [Поезії], № 04",1960 - 1970,1965,#E59262
Colombia,1965,"Тихолов, Георгі: Малі байки: Нещасний трутень, № 02",#F2A2A26
"Велес Кальє, Альваро: Лист до людства: [Вірш], № 04",1960 - 1970,Bulgaria,#84B5B30
"Відалес, Луїс: «Партія Леніна в ногу крокує із часом...»: [Вірш], № 01",1960 - 1970,Bulgarian,#84B5B31
"Гарсія [Гарсіа] Маркес, Габріель: Вдова Монтіеля, № 03",1960 - 1970,1965,#D1605E
"Гарсія [Гарсіа] Маркес, Габріель: Один звичайний день: Оповідання, № 03",1965,"Тихолов, Георгі: Взаємно, № 02",#E59262
"Гарсія [Гарсіа] Маркес, Габріель: Жінка, яка приходила о шостій: Оповідання, № 02",1960 - 1970,Bulgaria,#F2A2A26
"Гарсія [Гарсіа] Маркес, Габріель: Злодіїв у селі нема: Оповідання, № 03",1960 - 1970,Bulgarian,#84B5B21
"Гарсія [Гарсіа] Маркес, Габріель: Кохання під час холери: Роман, № 09",1960 - 1970,1965,#D1605E
"Гарсія [Гарсіа] Маркес, Габріель: Кохання під час холери: Роман, № 10",1965,"Тихолов, Георгі: Байка, № 02",#E59263
"Гарсія [Гарсіа] Маркес, Габріель: Кохання під час холери: Роман, № 11",1960 - 1970,Bulgaria,#F2A2A27
"Гарсія [Гарсіа] Маркес, Габріель: Кохання під час холери: Роман, № 12",1960 - 1970,Bulgarian,#84B5B29
"Гарсія [Гарсіа] Маркес, Габріель: Осінь патріарха: Роман, № 01",1960 - 1970,1965,#84B5B30
"Гарсія [Гарсіа] Маркес, Габріель: Осінь патріарха: Роман, № 02",1965,"Тихолов, Георгі: Самокритика, № 02",#D1605E
"Гарсія [Гарсіа] Маркес, Габріель: Осінь патріарха: Роман, № 03",1960 - 1970,Bulgaria,#E59263
"Гарсія [Гарсіа] Маркес, Габріель: Полковникові ніхто не пише: Повість Чудесна клітка Балтасара: Оповідання, № 03",1960 - 1970,Bulgarian,#F2A2A27
